"Date","AdjOutstanding"
1985-09-11,0.237156713644191
1987-01-07,0.589832317381136
1988-11-01,0.964360470991063
1990-05-18,1.3211466476669
1991-11-12,1.50518004815219
1993-12-16,2.31716322989493
1995-06-12,3.67374899757123
1996-08-08,4.57098350461737
1998-02-23,5.23533617022033
1999-05-31,7.37484654379704
2000-06-17,9.01660134265992
2001-07-25,10.8830537116514
2002-06-11,11.5980750366461
2003-05-19,10.731699846393
2004-03-16,9.08650818630149
2004-12-03,8.11785999837251
2005-08-02,9.37865134277737
2006-04-20,10.4944199740453
2007-05-27,11.6285306412544
2008-05-04,13.5961357032341
2008-11-01,17.5359070153591
2009-06-30,23.1528812037195
2009-12-08,29.4838682355811
2010-04-28,35.0692933606134
2010-08-07,40.6175207779799
2011-02-04,49.2158300646861
2011-07-15,56.3104982706734
2011-12-22,64.0922357231097
2012-07-11,72.4309188070401
2013-02-18,80.8395166860184
2013-09-07,88.4237095167661
2014-03-27,97.794811607419
2015-01-23,105.864129147621
2015-07-03,110.92643241886
